,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
MSX2,12,4.394399828325111e-06,0.001547412069766101,0.3497955670324941,3.6619998569375925e-07
GPX1,9,7.206927314004322e-06,0.0012231268227721514,0.35168758113370835,8.007697015560357e-07
MYC,335,0.006623139172108329,0.0689626080721919,0.501078914919852,1.977056469286068e-05
NDUFA13,28,0.00019518092607342258,0.004266006735408074,0.4013084804345143,6.970747359765092e-06
RHEB,25,9.680652353593611e-05,0.003347290875997782,0.3924432641236118,3.872260941437445e-06
RAP1A,46,0.0004771160263263883,0.008875651243161573,0.4279884149552396,1.0372087528834529e-05
RALA,32,0.0005054030711286997,0.008397317843320288,0.4212231147965794,1.5793845972771865e-05
TRIB3,25,0.00011456828357670448,0.005111601548685869,0.40205293099183775,4.5827313430681794e-06
CAT,50,0.0007900408699999856,0.009124937140737586,0.4211139896373057,1.580081739999971e-05
GALNT4,3,5.665861824802083e-06,0.0007182949110908488,0.3478121322349417,1.888620608267361e-06
GPSM2,6,9.97077098357817e-06,0.0014839263242958339,0.3655684246036208,1.661795163929695e-06
TNNI3K,3,2.7954656753232513e-07,0.0009380433431342884,0.3453367325260251,9.318218917744171e-08
ADAMTS1,4,1.2408689762913741e-05,5.8953687587112304e-05,0.29415490408975753,3.1021724407284353e-06
VEGFA,33,0.001889809971794327,0.004487620115412567,0.390839144025006,5.726696884225233e-05
KDR,42,0.00025667311507492226,0.0072856575403783316,0.41266818989591264,6.111264644641006e-06
ABI1,37,0.0001674317576398513,0.004298056732403533,0.3936788568660693,4.5251826389149e-06
NUMB,31,0.0001598574813904554,0.006894192064723892,0.43110993236971223,5.156692948079206e-06
UBE2A,97,0.0006227771699450752,0.020519845856975017,0.43985928832363685,6.4203831953100536e-06
FYN,112,0.0016801886625363283,0.013248472115412125,0.4434592824989769,1.5001684486931503e-05
FER,17,1.9593516180338087e-05,0.004462354070419743,0.4039512922465209,1.1525597753140051e-06
YES1,69,0.000822703632498514,0.012570426364841755,0.43920562010267494,1.1923241050703101e-05
RAB8B,29,6.525623000144501e-05,0.006277700532401218,0.4080582402409941,2.250214827636035e-06
ANXA2,94,0.0009837821052177916,0.03165616323492135,0.46959410660118445,1.0465767076785018e-05
ACTN1,95,0.000616542525985285,0.02201378666221316,0.4564088165098975,6.489921326160895e-06
SOS1,38,0.00012238020163047285,0.0062455971804187575,0.4080070281124498,3.2205316218545484e-06
PKP4,26,7.670513418151406e-05,0.006122208001282707,0.41754431030053946,2.9501974685197715e-06
FKBP2,31,8.173311314753469e-05,0.003964887756402161,0.3801894515261373,2.636552037017248e-06
HIF1A,111,0.0008190605907354581,0.025508850407086055,0.4534802622402009,7.378924240859983e-06
KAT5,118,0.001491778569977975,0.023144678162358413,0.4600905745825078,1.2642191270999788e-05
THRB,34,6.29895861075499e-05,0.006756989571234154,0.3932502721664449,1.8526348855161733e-06
THRA,47,0.0002115800262184535,0.00864998814695622,0.4021523998020782,4.501702685499011e-06
TGM2,43,0.00016295033388276562,0.011185749493260622,0.43702110498722946,3.78954264843641e-06
NCOR1,86,0.0005679425065586974,0.016281775682771237,0.4374915892881173,6.603982634403459e-06
SIN3A,87,0.0005591449505928836,0.018173657162802188,0.4459533607681756,6.426953455090616e-06
SMARCA4,127,0.0011392991755820971,0.029695958910626565,0.4623151308304892,8.970859650252733e-06
SMARCA2,68,0.00021957226282843403,0.015078371572700675,0.423417556655379,3.22900386512403e-06
EID1,24,4.3009986217498394e-05,0.005766629949636238,0.3965117697280156,1.792082759062433e-06
MDM4,56,0.00018893540528346775,0.013201465546018374,0.4331778814123917,3.373846522919067e-06
CSNK2A1,225,0.003887835393179055,0.05098830533163626,0.48704119850187266,1.7279268414129134e-05
MGMT,73,0.0017385632797174853,0.017185177286920914,0.421004921004921,2.381593533859569e-05
CSNK2A2,94,0.00146895230459449,0.01990541410149012,0.44909517889211215,1.5627152176537127e-05
PRKACA,69,0.0005341145370504504,0.012225762869593784,0.4358493095589221,7.740790392035513e-06
PRKCA,76,0.0008460272277633396,0.013887044762811777,0.445892195857907,1.1131937207412364e-05
SPIB,13,3.7364630401690643e-06,0.001989605201660962,0.3591074781840274,2.8742023385915877e-07
SPI1,24,2.7030835376777305e-05,0.003663143875407625,0.37247937671860676,1.126284807365721e-06
CREBBP,190,0.0028325714472087903,0.03244314933609208,0.4803486997635934,1.4908270774783107e-05
EP300,273,0.00631457910227719,0.04915059621936308,0.4979323020370654,2.3130326381967728e-05
KAT2B,103,0.0007580860517867485,0.018458836649029583,0.43684493415748454,7.3600587552111505e-06
SMAD1,62,0.00035389117646818707,0.011041541992559745,0.4317397078353254,5.707922201099792e-06
