,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
TNIK,88,0.00019769920591070146,0.007177942513707026,0.44450402144772116,2.2465818853488802e-06
VAMP8,29,2.0942265519695996e-05,0.0023579332449480865,0.3943862987630828,7.221470868860688e-07
SLC39A10,19,4.0108161365103825e-05,0.00284663444690348,0.42633067626639237,2.110955861321254e-06
CNNM3,21,2.7280786865662444e-05,0.002630288431198002,0.41773746535651296,1.2990850888410687e-06
TAOK3,16,2.389788069820138e-05,0.0025252013885032763,0.4146727803251355,1.4936175436375862e-06
ITGB1,118,0.0005510466228345418,0.011975648429503192,0.47075525269733104,4.669886634191032e-06
SEMA4C,21,3.6540422849114914e-05,0.0020181847488333453,0.41363825363825363,1.7400201356721388e-06
NUMB,64,0.00013136460203324023,0.006885781647200637,0.4631284916201117,2.0525719067693787e-06
RAB27A,14,4.241849221794234e-05,0.001597967539892746,0.40025750382232234,3.029892301281596e-06
MAP4K4,53,8.874086475492696e-05,0.006949225003818011,0.45457868762566256,1.6743559387722067e-06
EHBP1L1,17,8.662191340232156e-06,0.0023122001953733077,0.41630398393036494,5.095406670724797e-07
